grant_number,in_cruz_list
2011780,False
2027519,False
2034824,False
2040209,False
2040684,False
2041192,False
2041218,False
2041294,False
2042870,False
2043192,False
2045129,False
2045432,False
2045505,False
2045937,True
2045977,False
2046045,True
2046079,False
2046081,False
2046233,False
2046454,False
2046607,False
2046642,False
2046856,True
2047152,False
2047292,False
2047346,False
2047420,False
2047513,False
2048018,False
2048507,False
2048985,False
2048993,False
2049023,False
2049130,False
2049558,False
2049799,False
2050161,False
2050608,True
2050613,False
2050803,False
2050922,False
2050937,False
2051184,False
2055039,False
2055237,True
2055309,False
2055322,False
2055345,False
2055375,True
2055382,False
2055419,False
2055422,False
2055426,False
2055735,False
2100017,False
2100034,False
2100139,False
2100349,False
2100408,False
2100693,True
2100793,False
2100876,False
2100961,False
2101039,False
2101083,False
2101144,False
2101169,False
2101217,False
2101244,False
2101277,False
2101287,False
2101324,False
2101395,False
2101526,False
2101665,False
2101667,False
2101668,False
2105701,False
2106476,False
2106666,False
2110604,False
2111199,False
2114241,False
2114242,False
2114660,False
2115160,False
2115429,False
2115472,False
2115522,False
2115579,False
2115614,False
2115620,False
2115621,False
2115637,False
2115695,False
2115712,False
2115730,False
2115781,True
2115921,True
2115963,False
2115971,False
2116116,False
2116118,False
2116350,False
2116467,False
2116473,False
2116484,False
2116538,False
2116543,False
2116771,False
2116799,False
2117009,False
2117083,True
2117694,False
2118482,False
2119573,False
2119630,False
2120006,False
2120031,False
2120039,False
2120047,False
2120673,False
2120880,False
2120881,False
2121455,False
2121787,False
2121797,False
2121851,False
2121852,False
2121853,False
2121858,False
2121898,True
2121899,False
2122112,False
2122212,False
2122213,False
2122232,False
2122367,False
2122436,False
2122488,False
2122553,False
2122640,False
2122673,True
2122682,False
2122701,False
2123618,False
2123635,False
2124745,False
2124838,False
2124994,False
2125288,False
2126030,True
2126506,False
2126575,False
2126635,False
2127208,False
2127228,False
2127357,False
2127359,False
2127380,False
2127909,False
2127910,False
2127911,False
2127913,False
2128198,False
2128746,False
2128803,False
2128813,False
2128991,False
2131508,False
2131875,False
2133963,False
2133964,False
2134136,False
2135328,True
2135329,True
2135669,True
2136141,False
2137338,False
2137393,False
2137410,False
2139096,False
2139125,False
2140246,True
2140262,True
2140601,True
2140646,False
2140647,True
2140867,True
2140891,False
2140892,False
2140902,True
2140903,False
2140904,True
2140905,True
2140922,True
2140987,True
2141289,True
2141313,True
2141326,True
2141328,True
2141345,True
2142739,True
2143173,True
2143867,True
2143934,False
2143993,True
2144506,True
2144618,True
2144978,True
2145011,True
2145105,True
2145783,False
2145961,True
2146448,False
2146613,False
2146983,False
2146984,False
2147011,True
2147258,True
2147284,True
2147305,True
2147325,True
2147450,False
2147635,True
2147818,True
2147839,True
2147848,True
2148014,True
2148016,False
2148202,False
2148560,True
2148561,True
2148606,True
2148704,True
2148705,True
2148739,True
2148889,True
2148920,True
2148928,True
2148971,True
2149053,True
2149223,True
2149321,False
2149798,False
2149849,True
2149858,True
2149883,True
2149899,True
2149995,True
2150262,True
2150364,True
2150423,False
2150680,True
2150716,False
2150723,False
2150727,True
2150922,True
2151311,True
2151404,False
2152437,True
2152441,True
2152456,True
2152524,False
2152834,True
2154118,False
2154119,False
2154123,False
2200066,True
2200323,True
2200437,True
2200648,True
2200706,True
2200748,True
2200753,False
2200838,True
2200990,True
2201100,True
2201101,True
2201102,True
2201103,True
2201466,True
2201486,True
2201545,True
2201576,False
2201700,False
2201701,False
2201796,True
2201797,True
2201798,True
2201799,True
2201800,False
2201809,True
2201810,True
2201904,True
2201928,True
2201929,True
2201930,True
2201943,True
2202109,False
2203422,True
2204099,True
2204125,False
2204380,True
2204537,True
2204540,True
2204550,True
2204552,True
2206057,True
2206125,False
2206181,False
2208152,True
2208797,True
2209192,False
2209643,True
2210011,False
2210023,False
2210137,True
2210142,True
2210841,True
2210842,True
2210843,True
2210844,True
2212146,True
2212690,True
2213870,True
2214011,True
2214203,False
2214215,False
2214216,False
2214217,False
2214387,True
2214455,True
2214482,True
2214516,True
2214740,True
2215050,False
2215138,True
2215153,True
2215167,False
2215236,True
2215382,True
2215409,True
2215554,False
2215592,False
2215613,True
2215695,False
2215696,True
2216268,True
2216286,True
2216540,False
2216561,True
2216648,True
2216704,True
2216721,True
2216826,True
2217477,True
2217681,True
2217703,False
2217706,True
2217708,True
2217718,True
