agency,awardeeCity,awardeeName,awardeeStateCode,fundsObligatedAmt,id,publicAccessMandate,date,startDate,title
NSF,CLEVELAND,Case Western Reserve University,OH,43800,7407950,0,06/09/1970,06/01/1970,Localization in Homotopy and Group Theory
NSF,AUSTIN,University of Texas at Austin,TX,52300,7000232,0,05/13/1970,06/01/1970,Emplacement of Franciscan-Type Rocks and Origin of Related  Mafic and Ultramafic Rocks
NSF,EAST LANSING,Michigan State University,MI,145600,7001653,0,05/19/1970,06/01/1970,Structure-Reactivity Relationships in Ketone Photochemistry
NSF,WASHINGTON,National Research Council,DC,45000,7001027,0,06/15/1970,06/01/1970,Task Order For Partial Support of the Atmospheric Sciences  Review Summer Study
NSF,NOTRE DAME,University of Notre Dame,IN,141800,7001713,0,04/03/1970,06/01/1970,Theory of Several Complex Variables
NSF,CORAL GABLES,University of Miami,FL,2700,7000204,0,05/05/1970,06/01/1970,Study of Ion-Ion Interactions in Seawater
NSF,NEW BRUNSWICK,Rutgers University New Brunswick,NJ,7000,7001685,0,05/26/1970,06/01/1970,Quotient Rings of Rings
NSF,BALTIMORE,Johns Hopkins University,MD,106000,7000528,0,04/24/1970,06/01/1970,Role of Endonucleases in Genetic Recombination
NSF,Edinburgh,University of Edinburgh,,242700,7000083,0,06/09/1970,06/01/1970,International Seismological Centre
NSF,Falls Church,Exotech Systems Inc,VA,123680,7001034,0,05/21/1970,06/01/1970,"Contract For the Processing of Information Related to the   Proposal Receipt, Evaluation, and Award Procedures of the   National Science Foundation's Science Education Programs"
NSF,TALLAHASSEE,Florida State University,FL,175500,7001698,0,05/18/1970,06/01/1970,Topology of Manifolds
NSF,HENNIKER,New England College,NH,75700,7003334,0,05/28/1970,05/28/1970,Inter-Institutional Project in Four-Year Colleges
NSF,Brooklyn,Polytechnic University of New York,NY,23732,7003115,0,05/28/1970,05/28/1970,"Course Cont Impvmnt, College-Physics a Computer Animated    Film on the Quantum Mechanical Harmonic Oscillator"
NSF,PORTLAND,Oregon Museum of Science and Industry,OR,16500,7003008,0,05/22/1970,05/22/1970,A School Year Science Investigation Project
NSF,ROLLA,Missouri University of Science and Technology,MO,132900,7003453,0,05/21/1970,05/21/1970,Interstitial Diffusion in Ferromagnetic Metals and Alloys
NSF,Washington,Washington School of Psychiatry,DC,14000,7003009,0,05/21/1970,05/21/1970,A Feasibility Study to Identify Approaches to Evaluation of 'man- a Course of Study'
NSF,BLOOMINGTON,Indiana University,IN,29440,7003360,0,05/15/1970,05/15/1970,Curriculum Development in the Study of the Interaction of   Science and Society
NSF,HONOLULU,University of Hawaii,HI,959200,7000709,0,06/18/1970,05/15/1970,Collaborative Research on Hawaii Terrestrial Biology        Subprogram
NSF,HONOLULU,University of Hawaii,HI,175900,7000099,0,05/08/1970,05/15/1970,Experiment in Numerical Forecasting in the Tropics
NSF,GALESBURG,Knox College,IL,160155,7003120,0,05/13/1970,05/13/1970,A Coordinated Plan For Secondary School Science Teacher     Training
NSF,SEATTLE,University of Washington,WA,320300,7003118,0,05/13/1970,05/13/1970,A Coordinated Program of Instruction in Physical Science AndScience Teaching For Pre-Service Elementary Teachers
NSF,PHILADELPHIA,Academy of Natural Sciences Philadelphia,PA,62800,7000424,0,03/25/1970,05/01/1970,Classification of Scytonema and Calothrix Ag. (Blue-Green   Algae)
NSF,NORMAN,University of Oklahoma Norman Campus,OK,233400,6900137,0,04/14/1970,05/01/1970,Investigation of Some Statistical Aspects of Meteorological Data Archiving
NSF,SAN JUAN,University of Puerto Rico-Rio Piedras,PR,35700,7001554,0,04/10/1970,05/01/1970,Novel Peroxide Heterocycles
NSF,Baltimore,Individual Award,MD,15000,6900147,0,05/07/1970,05/01/1970,Turblence Dynamics and Predictability
NSF,SAN JUAN,University of Puerto Rico-Rio Piedras,PR,35700,7001554,0,04/10/1970,05/01/1970,Novel Peroxide Heterocycles
NSF,GOLDEN,Colorado School of Mines,CO,700000,6901048,0,04/30/1970,04/30/1970,Science Development Program in Geoscience-Mineral Resources
NSF,WAITE HILL,Institute of Mathematical Statistics,OH,8350,7003328,0,04/29/1970,04/29/1970,Visiting Scientists Visiting Scientists (Colleges)
NSF,MELBOURNE,Florida Institute of Technology,FL,197600,7003114,0,04/27/1970,04/27/1970,College Science Improvement Program (Section A)
NSF,Holloman Air Force Base,Department of Air Force Hollomon Air Force Base,NM,6500,7001012,0,05/14/1970,04/25/1970,Services Necessary to Measure Densities of Radar Images on  Some 7500 Frames of 35 Mm Film (C460)
NSF,Washington,National Academy of Engineering,DC,6000,7001023,0,05/01/1970,04/24/1970,Partl Supp of a Symp on the Qual of Life-Barriers Life-     Barriers and Constraints to the Use of Exist Cing World     Population&World Nutritional Resources
NSF,WASHINGTON,National Academy of Engineering Commission on Education,DC,51025,7001021,0,04/16/1970,04/15/1970,Task Order For Workshop on Social Directions For Technology
NSF,CALGARY,University of Calgary,AB,40000,7000530,0,03/04/1970,04/01/1970,Maintenance of a Salmonella Genetic Stock Center
NSF,Washington,Department of Energy Germantown,DC,656700,7000050,0,03/26/1970,04/01/1970,Area Program in Population Genetics
NSF,WASHINGTON,American University,DC,186700,6900915,0,04/07/1970,04/01/1970,Nuclear Excitation By Low Energy Electrons and Photons
NSF,FORT VALLEY,Fort Valley State University,GA,6400,7001108,0,04/27/1970,04/01/1970,Experiment in the Development of a Regional Computer Center
NSF,MURRAY HILL,"Lucent Technologies, Inc",NJ,0,7003469,0,04/07/1970,04/01/1970,Three-Axis Fluxgate Magnetometer in Antarctic
NSF,HOUSTON,William Marsh Rice University,TX,45000,7003458,0,03/31/1970,03/31/1970,Classification Problems in Algebra
NSF,GRAMBLING,Grambling State University,LA,10237,7003006,0,03/30/1970,03/30/1970,In-Service Institute in Mathematics For Secondary School    Teachers
NSF,EDINBORO,Edinboro University of Pennsylvania,PA,13055,7003003,0,03/30/1970,03/30/1970,In-Service Institute in Earth Science For Secondary School  Teachers
NSF,COLLEGE PARK,"University of Maryland, College Park",MD,9741,7003004,0,03/30/1970,03/30/1970,In-Service Institute in Meteorology/Ecology For Secondary   School Teachers
NSF,New York,Gordon and Breach Science Publishers Inc,NY,0,7003474,0,03/17/1970,03/17/1970,"Publication & Distribution of the Manuscript ""A Course in PrActical Astrophysics""."
NSF,COLLEGE PARK,"University of Maryland, College Park",MD,94800,7001751,0,03/06/1970,03/15/1970,Approximate Methods For Solving Functional Equations
NSF,PITTSBURGH,Carnegie-Mellon University,PA,35900,6900588,0,03/06/1970,03/15/1970,Transport Processes in Multiparticle Laminar Flow Systems
NSF,WASHINGTON,National Research Council,DC,24350,7001020,0,03/27/1970,03/15/1970,"T.O. For Partial Supp of U.S. Partic in the 14th 14th Gen   Assem of the Internat:l Astrono Union in Brighton, Engl,    8/18-27/70"
NSF,ROCKVILLE,American Society of Biolchemistry and Molecular Biology,MD,10000,6900302,0,03/26/1970,03/15/1970,"Eighth International Congress of Biochemistry, Switzerland, September 1970"
NSF,WASHINGTON,National Research Council,DC,60000,7001019,0,03/27/1970,03/15/1970,"Task Order For Partial Support of Travel of U. S.           Participants to the International Congress of MathematiciansIn Nice, France"
NSF,COLLEGE PARK,"University of Maryland, College Park",MD,1004700,7001638,0,03/02/1970,03/15/1970,Astronomical Work at the Clark Lake Radio Observatory
NSF,FORT COLLINS,Colorado State University,CO,600000,6901045,0,03/05/1970,03/05/1970,Departmental Science Development-Civil Engineering
NSF,Arlington,Department of Navy Naval Facilities Engineering Command,VA,648000,7001010,0,01/29/1970,03/01/1970,Supply Electrical Power to the Arecibo Observatory (ContractNsf C-600)
NSF,WASHINGTON,National Research Council,DC,15100,7001018,0,03/27/1970,03/01/1970,Task Order For Partial Support of U. S. Participation in TheInternational Symposium on Solar-Terrestrial Physics
NSF,WASHINGTON,National Academy of Sciences,DC,3800,7001017,0,03/06/1970,03/01/1970,"Partial Support For Annual Meeting of Commission For Higher Education in Biology, International Union of Biological     Sciences, April 1970"
NSF,NORMAN,University of Oklahoma Norman Campus,OK,95800,7419789,0,02/19/1970,03/01/1970,Convection Research in Central Oklahoma
NSF,TALLAHASSEE,Florida State University,FL,461400,7000080,0,02/19/1970,03/01/1970,Global Tropical Weather Systems
NSF,PRINCETON,Princeton University,NJ,113400,7000422,0,03/17/1970,03/01/1970,Mechanism and Control of Gene Expression
NSF,COLLEGE PARK,American Institute of Physics,MD,336777,7001485,0,02/25/1970,03/01/1970,National Information System For Physics- Advance Planning
NSF,GRAMBLING,Grambling State University,LA,50985,7003104,0,02/20/1970,02/20/1970,Brookhaven Semester Program For Students and Faculty MembersFrom Developing Colleges and Universities
NSF,SWEET BRIAR,Sweet Briar College,VA,203900,7003100,0,02/19/1970,02/19/1970,College Science Improvement Program
NSF,WALTHAM,Education Development Center,MA,2535990,6901072,0,02/27/1970,02/15/1970,"A Secondary School Course, 'exploring Human Nature'"
NSF,CHAPEL HILL,University of North Carolina at Chapel Hill,NC,113800,6900158,0,02/06/1970,02/15/1970,Diffusion and Conduction in Colloidal Suspensions
NSF,BERKELEY,University of California-Berkeley,CA,81400,7000354,0,01/16/1970,02/01/1970,Biology of Pseudomonads and Blue-Green Algae
NSF,WASHINGTON,National Research Council,DC,33100,6900447,0,06/15/1970,02/01/1970,Task Order For Partial Support of the Committee   on the GeoLogical Sciences
NSF,RESTON,UNITED STATES DEPT OF GEOLOGICAL SURVEY,VA,42024,7001009,0,02/13/1970,02/01/1970,"Preparation, Printing, and Distribution of a Uniform Series Of Antarctic Geologic Maps"
NSF,WASHINGTON,National Research Council,DC,7600,7001016,0,02/04/1970,02/01/1970,Conference on Computational Support For Research in Quantum Chemistry
NSF,RALEIGH,Saint Augustine's College,NC,70400,7003098,0,01/29/1970,01/29/1970,College Science Improvement Program
NSF,WALTHAM,Education Development Center,MA,3363194,6901071,0,01/21/1970,01/21/1970,"Course Cont Impvmnt,elem Sch-Interdisc & Other Unified      Science and Mathematics Materials For Elementary Schools"
NSF,BETHESDA,American Fisheries Society (AFS),MD,67788,7001481,0,10/28/1969,01/01/1970,"Translation Journal, 'hydrobiological Journal' (1970 Vol.)"
NSF,BETHESDA,American Fisheries Society (AFS),MD,87253,7001482,0,10/28/1969,01/01/1970,"Translation Journal, 'problems of Ichthyology' (1970 Vol.)"
NSF,AMHERST,SUNY at Buffalo,NY,130000,7000444,0,12/17/1969,01/01/1970,Primary Sequence Determination of Human Serum Albumin
NSF,HONOLULU,University of Hawaii,HI,115800,7000066,0,01/02/1970,01/01/1970,Numerical Study of Barotropic Long Waves on a Rotating Ocean
NSF,ANNAPOLIS,Entomological Society of America,MD,11000,7001483,0,11/17/1969,01/01/1970,"Translation Jorunal, Entomological Review, Vol 49 (1970)"
NSF,SEATTLE,University of Washington,WA,176300,7000417,0,12/09/1969,01/01/1970,Recombination and Gene Function in Fungi
NSF,PHILADELPHIA,Society For Industrial and Applied Math (SIAM),PA,16600,7001487,0,02/10/1970,01/01/1970,Translation and Publication of Selected Articles on Control Theory in the 'siam Journal of Control (Sicon)'
NSF,WASHINGTON,American Geophysical Union,DC,101000,7001484,0,11/28/1969,01/01/1970,"Transl Jour-Atmos & Oceanic Physics, Physics of   the Soled Earth, Geomagnetism&Aeronomy, Geodesy&  Aerophotography, OceAnology, Geotectonics,&Soviet Hydrology-Selected Papers, 197"
NSF,CHICAGO,Illinois Institute of Technology,IL,38074,7205996,0,12/06/1971,12/28/1971,Summer and In-Service Institute in Physics For Secondary    School Teachers
NSF,GRAMBLING,Grambling State University,LA,46124,7205831,0,12/06/1971,12/28/1971,Summer Institute in Mathematics For Secondary School        Teachers
NSF,WASHINGTON,American Association for the Advancement of Science,DC,32100,7202771,0,12/27/1971,12/27/1971,Exchange of Scientists With the All-Union Society 'znaniye' U.S.S.R.
NSF,LOS ANGELES,University of Southern California,CA,247400,7202930,0,12/02/1971,12/15/1971,Laser Excited Spectroscopy of Solids
NSF,PITTSBURGH,Carnegie-Mellon University,PA,104700,7102370,0,12/16/1971,12/15/1971,Numerical Aspects of Pollution Abatement
NSF,Arlington,Naval Weapons Center Office of Naval Research,VA,250000,7201192,0,12/15/1971,12/15/1971,Small Ocean Data Station (Sods)
NSF,BERKELEY,University of California-Berkeley,CA,652300,7205214,0,12/08/1971,12/15/1971,O
NSF,AMES,Iowa State University,IA,191386,7201288,0,12/02/1971,12/15/1971,Electromagnetic Studies of Severe Convective Storms
NSF,CAMBRIDGE,Harvard University,MA,251300,7202931,0,12/02/1971,12/15/1971,Resonance and Radiation Physics
NSF,URBANA,University of Illinois at Urbana-Champaign,IL,78200,7102362,0,12/07/1971,12/15/1971,Two-Phase Flow
NSF,MADISON,University of Wisconsin-Madison,WI,26900,7102524,0,01/06/1972,12/15/1971,The Branconidae Section of the Hymenopterorum Catalogus
NSF,PHILADELPHIA,Drexel University,PA,93000,7100598,0,12/21/1971,12/15/1971,Laser Radar (Lidar) Research For Measuring Atmospheric WaterVapor Profiles
NSF,Louisville,University of Louisville School of Medicine,KY,0,7201792,0,12/02/1971,12/15/1971,Substrate and Coenzyme Interaction With Glutamate           Decarboxylase
NSF,STONY BROOK,SUNY at Stony Brook,NY,38000,7201789,0,01/11/1972,12/15/1971,Dynamic Aspects of Protein Structure
NSF,OAK RIDGE,Department of Energy Oak Ridge Operations Office,TN,4500,7207789,0,12/09/1971,12/09/1971,Evaluation Services
NSF,BOWIE,Bowie State University,MD,19618,7205661,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,PHILADELPHIA,Holy Family College,PA,2511,7205712,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,Canton,SUNY College of Technology Canton,NY,1674,7205697,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,OLIVET,Olivet College,MI,1674,7205677,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,Burlington,Trinity College,VT,18401,7205728,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,CLEVELAND,Cleveland State Community College,TN,1674,7205717,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,Kalamazoo,Nazareth College,MI,1674,7205676,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,Columbus,Ohio Dominican College,OH,1674,7205705,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,LA CROSSE,"Viterbo University, Inc.",WI,1674,7205737,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,LAWTON,Cameron University,OK,1674,7205706,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MONTGOMERY,Alabama State University,AL,4185,7205628,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MANGILAO,University of Guam,GU,13848,7205738,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
