State or territory,Census population,Census population,"Change,
2010–2020","Change,
2010–2020",House seats,House seats,"Pop.
 per
elec. vote
(2020)","Pop.
per
seat
(2020)","% US
(2020)","% EC
(2020)"
State or territory,"July 1, 2023 (est.)","April 1, 2020",%,Abs.,Seats,%,"Pop.
 per
elec. vote
(2020)","Pop.
per
seat
(2020)","% US
(2020)","% EC
(2020)"
California,"38,965,193","39,538,223",6.13%,"2,284,267",52,11.95%,"732,189","760,350",11.800%,10.04%
Texas,"30,503,301","29,145,505",15.91%,"3,999,944",38,8.74%,"728,638","766,987",8.698%,7.43%
Florida,"22,610,726","21,538,187",14.56%,"2,736,877",28,6.44%,"717,940","769,221",6.428%,5.58%
New York,"19,571,216","20,201,249",4.25%,"823,147",26,5.98%,"721,473","776,971",6.029%,5.20%
Pennsylvania,"12,961,683","13,002,700",2.36%,"300,321",17,3.91%,"684,353","764,865",3.881%,3.53%
Illinois,"12,549,689","12,812,508",−0.14%,"−18,124",17,3.91%,"674,343","753,677",3.824%,3.53%
Ohio,"11,785,935","11,799,448",2.28%,"262,944",15,3.45%,"694,085","786,630",3.521%,3.16%
Georgia,"11,029,227","10,711,908",10.57%,"1,024,255",14,3.22%,"669,494","765,136",3.197%,2.97%
North Carolina,"10,835,491","10,439,388",9.48%,"903,905",14,3.22%,"652,462","745,671",3.116%,2.97%
Michigan,"10,037,261","10,077,331",1.96%,"193,691",13,2.99%,"671,822","775,179",3.008%,2.79%
New Jersey,"9,290,841","9,288,994",5.65%,"497,100",12,2.76%,"663,500","774,083",2.772%,2.60%
Virginia,"8,715,698","8,631,393",7.88%,"630,369",11,2.53%,"663,953","784,672",2.576%,2.42%
Washington,"7,812,880","7,705,281",14.58%,"980,741",10,2.30%,"642,107","770,528",2.300%,2.23%
Arizona,"7,431,344","7,151,502",11.88%,"759,485",9,2.07%,"650,137","794,611",2.134%,2.04%
Tennessee,"7,126,489","6,910,840",8.90%,"564,735",9,2.07%,"628,258","767,871",2.062%,2.04%
Massachusetts,"7,001,399","7,029,917",7.37%,"482,288",9,2.07%,"639,083","781,102",2.098%,2.04%
Indiana,"6,862,199","6,785,528",4.65%,"301,726",9,2.07%,"616,866","753,948",2.025%,2.04%
Missouri,"6,196,156","6,154,913",2.77%,"165,986",8,1.84%,"615,491","769,364",1.837%,1.86%
Maryland,"6,180,253","6,177,224",6.99%,"403,672",8,1.84%,"617,722","772,153",1.844%,1.86%
Wisconsin,"5,910,955","5,893,718",3.64%,"206,732",8,1.84%,"589,372","736,715",1.759%,1.86%
Colorado,"5,877,610","5,773,714",14.80%,"744,518",8,1.84%,"577,371","721,714",1.723%,1.86%
Minnesota,"5,737,915","5,706,494",7.59%,"402,569",8,1.84%,"570,649","713,312",1.703%,1.86%
South Carolina,"5,373,555","5,118,425",10.66%,"493,061",7,1.61%,"568,714","731,204",1.528%,1.67%
Alabama,"5,108,468","5,024,279",5.12%,"244,543",7,1.61%,"558,253","717,754",1.499%,1.67%
Louisiana,"4,573,749","4,657,757",2.74%,"124,385",6,1.38%,"582,220","776,293",1.390%,1.49%
Kentucky,"4,526,154","4,505,836",3.84%,"166,469",6,1.38%,"563,230","750,973",1.345%,1.49%
Oregon,"4,233,358","4,237,256",10.60%,"406,182",6,1.38%,"529,657","706,209",1.265%,1.49%
Oklahoma,"4,053,824","3,959,353",5.54%,"208,002",5,1.15%,"565,622","791,871",1.182%,1.30%
Connecticut,"3,617,176","3,605,944",0.89%,"31,847",5,1.15%,"515,135","721,189",1.076%,1.30%
Utah,"3,417,734","3,271,616",18.37%,"507,731",4,0.92%,"545,269","817,904",0.976%,1.12%
Iowa,"3,207,004","3,190,369",4.73%,"144,014",4,0.92%,"531,728","797,592",0.952%,1.12%
Puerto Rico,"3,205,691","3,285,874",−11.81%,"−439,915",1*,—,—,—,0.981%,—
Nevada,"3,194,176","3,104,614",14.96%,"404,063",4,0.92%,"517,436","776,154",0.927%,1.12%
Arkansas,"3,067,732","3,011,524",3.28%,"95,606",4,0.92%,"501,921","752,881",0.899%,1.12%
Kansas,"2,940,546","2,937,880",2.97%,"84,762",4,0.92%,"489,647","734,470",0.877%,1.12%
Mississippi,"2,939,690","2,961,279",−0.20%,"−6,018",4,0.92%,"493,547","740,320",0.884%,1.12%
New Mexico,"2,114,371","2,117,522",2.83%,"58,343",3,0.69%,"423,504","705,841",0.632%,0.93%
Nebraska,"1,978,379","1,961,504",7.40%,"135,163",3,0.69%,"392,301","653,835",0.585%,0.93%
Idaho,"1,964,726","1,839,106",17.32%,"271,524",2,0.46%,"459,777","919,553",0.549%,0.74%
West Virginia,"1,770,071","1,793,716",−3.20%,"−59,278",2,0.46%,"448,429","896,858",0.535%,0.74%
Hawaii,"1,435,138","1,455,271",6.98%,"94,970",2,0.46%,"363,818","727,636",0.434%,0.74%
New Hampshire,"1,402,054","1,377,529",4.66%,"61,059",2,0.46%,"344,382","688,765",0.411%,0.74%
Maine,"1,395,722","1,362,359",2.56%,"33,998",2,0.46%,"340,590","681,180",0.407%,0.74%
Montana,"1,132,812","1,084,225",9.58%,"94,810",2,0.46%,"271,056","542,113",0.324%,0.74%
Rhode Island,"1,095,962","1,097,379",4.26%,"44,812",2,0.46%,"274,345","548,690",0.328%,0.74%
Delaware,"1,031,890","989,948",10.25%,"92,014",1,0.23%,"329,983","989,948",0.295%,0.56%
South Dakota,"919,318","886,667",8.90%,"72,487",1,0.23%,"295,556","886,667",0.265%,0.56%
North Dakota,"783,926","779,094",15.83%,"106,503",1,0.23%,"259,698","779,094",0.233%,0.56%
Alaska,"733,406","733,391",3.26%,"23,160",1,0.23%,"244,464","733,391",0.219%,0.56%
District of Columbia,"678,972","689,545",14.60%,"87,822",1*,—,"229,848",—,0.206%,0.56%
Vermont,"647,464","643,077",2.77%,"17,336",1,0.23%,"214,359","643,077",0.192%,0.56%
Wyoming,"584,057","576,851",2.35%,"13,225",1,0.23%,"192,284","576,851",0.172%,0.56%
Guam,N/A,"153,836",−3.47%,"−5,522",1*,—,—,—,0.046%,—
U.S. Virgin Islands,N/A,"87,146",−18.10%,"−19,259",1*,—,—,—,0.026%,—
American Samoa,N/A,"49,710",−10.46%,"−5,809",1*,—,—,—,0.015%,—
Northern Mariana Islands,N/A,"47,329",−12.16%,"−6,554",1*,—,—,—,0.014%,—
Contiguous United States,"332,746,351","329,260,619",7.36%,"22,585,613","432
(+1*)",99.31%,"623,600","756,921",98.265%,98.70%
The 50 states,"334,235,923","330,759,736",7.34%,"22,615,921",435,100%,"618,242","760,367",98.713%,99.44%
The 50 states and D.C.,"334,914,895","331,449,281",7.35%,"22,703,743","435
(+1*)",100%,"616,077",—,98.918%,100%
Total US and territories,N/A,"335,073,176",7.10%,"22,226,684","435
(+6*)",100%,—,—,100%,—
